2026-03-30 16:00:01,322 [INFO] 创建 4 个并行环境
2026-03-30 16:00:01,322 [INFO] 创建评估环境
2026-03-30 16:00:01,322 [INFO] 创建PPO模型...
2026-03-30 16:00:01,947 [INFO] 开始训练...
2026-03-30 16:00:01,947 [INFO] 提示: 可以使用 TensorBoard 查看训练过程: tensorboard --logdir rl_logs_v2
2026-03-30 16:00:06,543 [INFO] Episode 完成: 平均功率=195.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:06,543 [INFO] Episode 完成: 平均功率=330.00 EU/t, 最大堆温=911.67, 爆炸=否
2026-03-30 16:00:06,544 [INFO] Episode 完成: 平均功率=235.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:06,849 [INFO] Episode 完成: 平均功率=260.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:06,849 [INFO] Episode 完成: 平均功率=220.00 EU/t, 最大堆温=436.67, 爆炸=否
2026-03-30 16:00:06,849 [INFO] Episode 完成: 平均功率=320.00 EU/t, 最大堆温=8574.67, 爆炸=否
2026-03-30 16:00:06,849 [INFO] Episode 完成: 平均功率=470.00 EU/t, 最大堆温=10018.00, 爆炸=是
2026-03-30 16:00:07,220 [INFO] Episode 完成: 平均功率=265.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:07,220 [INFO] Episode 完成: 平均功率=70.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:07,220 [INFO] Episode 完成: 平均功率=220.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:07,220 [INFO] Episode 完成: 平均功率=285.00 EU/t, 最大堆温=10015.00, 爆炸=是
2026-03-30 16:00:07,560 [INFO] Episode 完成: 平均功率=245.00 EU/t, 最大堆温=1502.00, 爆炸=否
2026-03-30 16:00:07,560 [INFO] Episode 完成: 平均功率=395.00 EU/t, 最大堆温=10038.67, 爆炸=是
2026-03-30 16:00:07,560 [INFO] Episode 完成: 平均功率=185.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:07,560 [INFO] Episode 完成: 平均功率=200.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:07,874 [INFO] Episode 完成: 平均功率=255.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:07,874 [INFO] Episode 完成: 平均功率=290.00 EU/t, 最大堆温=1396.00, 爆炸=否
2026-03-30 16:00:07,874 [INFO] Episode 完成: 平均功率=800.00 EU/t, 最大堆温=10047.00, 爆炸=是
2026-03-30 16:00:07,874 [INFO] Episode 完成: 平均功率=165.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:08,242 [INFO] Episode 完成: 平均功率=160.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:08,242 [INFO] Episode 完成: 平均功率=405.00 EU/t, 最大堆温=1589.00, 爆炸=否
2026-03-30 16:00:08,242 [INFO] Episode 完成: 平均功率=195.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:08,242 [INFO] Episode 完成: 平均功率=365.00 EU/t, 最大堆温=10032.00, 爆炸=是
2026-03-30 16:00:08,460 [INFO] Episode 完成: 平均功率=600.00 EU/t, 最大堆温=10017.00, 爆炸=是
2026-03-30 16:00:08,465 [INFO] Episode 完成: 平均功率=240.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:08,465 [INFO] Episode 完成: 平均功率=255.00 EU/t, 最大堆温=8327.00, 爆炸=否
2026-03-30 16:00:08,465 [INFO] Episode 完成: 平均功率=655.00 EU/t, 最大堆温=10203.00, 爆炸=是
2026-03-30 16:00:08,811 [INFO] Episode 完成: 平均功率=695.00 EU/t, 最大堆温=10213.33, 爆炸=是
2026-03-30 16:00:08,811 [INFO] Episode 完成: 平均功率=385.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:08,811 [INFO] Episode 完成: 平均功率=430.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:08,811 [INFO] Episode 完成: 平均功率=155.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:09,153 [INFO] Episode 完成: 平均功率=240.00 EU/t, 最大堆温=10014.00, 爆炸=是
2026-03-30 16:00:09,153 [INFO] Episode 完成: 平均功率=175.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:09,153 [INFO] Episode 完成: 平均功率=215.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:09,153 [INFO] Episode 完成: 平均功率=280.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:09,365 [INFO] Episode 完成: 平均功率=770.00 EU/t, 最大堆温=10101.33, 爆炸=是
2026-03-30 16:00:09,365 [INFO] Episode 完成: 平均功率=480.00 EU/t, 最大堆温=10032.33, 爆炸=是
2026-03-30 16:00:09,365 [INFO] Episode 完成: 平均功率=145.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:09,365 [INFO] Episode 完成: 平均功率=180.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:09,628 [INFO] Episode 完成: 平均功率=440.00 EU/t, 最大堆温=10092.00, 爆炸=是
2026-03-30 16:00:09,628 [INFO] Episode 完成: 平均功率=380.00 EU/t, 最大堆温=86.00, 爆炸=否
2026-03-30 16:00:09,628 [INFO] Episode 完成: 平均功率=315.00 EU/t, 最大堆温=10044.00, 爆炸=是
2026-03-30 16:00:09,628 [INFO] Episode 完成: 平均功率=305.00 EU/t, 最大堆温=10010.00, 爆炸=是
2026-03-30 16:00:09,976 [INFO] Episode 完成: 平均功率=95.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:09,976 [INFO] Episode 完成: 平均功率=400.00 EU/t, 最大堆温=10014.00, 爆炸=是
2026-03-30 16:00:09,976 [INFO] Episode 完成: 平均功率=490.00 EU/t, 最大堆温=10019.00, 爆炸=是
2026-03-30 16:00:09,976 [INFO] Episode 完成: 平均功率=220.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:10,271 [INFO] Episode 完成: 平均功率=465.00 EU/t, 最大堆温=10052.00, 爆炸=是
2026-03-30 16:00:10,271 [INFO] Episode 完成: 平均功率=160.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:10,271 [INFO] Episode 完成: 平均功率=555.00 EU/t, 最大堆温=10054.33, 爆炸=是
2026-03-30 16:00:10,271 [INFO] Episode 完成: 平均功率=300.00 EU/t, 最大堆温=3842.67, 爆炸=否
2026-03-30 16:00:10,584 [INFO] Episode 完成: 平均功率=465.00 EU/t, 最大堆温=10060.67, 爆炸=是
2026-03-30 16:00:10,584 [INFO] Episode 完成: 平均功率=215.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:10,584 [INFO] Episode 完成: 平均功率=420.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:10,584 [INFO] Episode 完成: 平均功率=375.00 EU/t, 最大堆温=10030.33, 爆炸=是
2026-03-30 16:00:10,844 [INFO] Episode 完成: 平均功率=405.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:10,844 [INFO] Episode 完成: 平均功率=565.00 EU/t, 最大堆温=10152.00, 爆炸=是
2026-03-30 16:00:10,844 [INFO] Episode 完成: 平均功率=535.00 EU/t, 最大堆温=10139.67, 爆炸=是
2026-03-30 16:00:10,844 [INFO] Episode 完成: 平均功率=260.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:11,234 [INFO] Episode 完成: 平均功率=270.00 EU/t, 最大堆温=0.00, 爆炸=否
2026-03-30 16:00:11,234 [INFO] Episode 完成: 平均功率=280.00 EU/t, 最大堆温=85.00, 爆炸=否
2026-03-30 16:00:11,234 [INFO] Episode 完成: 平均功率=365.00 EU/t, 最大堆温=10014.33, 爆炸=是
2026-03-30 16:00:11,234 [INFO] Episode 完成: 平均功率=355.00 EU/t, 最大堆温=4857.00, 爆炸=否
2026-03-30 16:00:11,547 [INFO] Episode 完成: 平均功率=465.00 EU/t, 最大堆温=10075.00, 爆炸=是
2026-03-30 16:00:11,547 [INFO] Episode 完成: 平均功率=205.00 EU/t, 最大堆温=0.00, 爆炸=否
